Call Times,Current 7 Day Implied,EPS,Implied Move Weekly,Tickers,Earnings Date,Last Close,Lower Bound
After Market Close,3.06,0.58,5.26,ANDV,5/7/2018,122.38,118.64
After Market Close,8.28,0.09,,NKTR,5/7/2018,83.66,76.73
After Market Close,3.49,-0.04,4.23,YELP,5/7/2018,44.38,42.83
Before Market Open,7.95,-0.68,,ARNA,5/7/2018,39.99,36.81
Before Market Open,1.93,1.06,5.14,CTSH,5/7/2018,81.62,80.04
Before Market Open,8.31,-0.04,8.62,IONS,5/7/2018,45.06,41.32
Before Market Open,1.62,0.64,3.78,SYY,5/7/2018,63.38,62.35
Before Market Open,1.84,1.32,5.63,TSN,5/7/2018,71.35,70.04
Time Not Supplied,3.9,0.14,6.96,JD,5/7/2018,36.76,35.33
After Market Close,4.1,0.16,,CTRP,5/8/2018,40.63,38.96
After Market Close,2.93,1.16,7.61,EA,5/8/2018,117.47,114.03
After Market Close,3.38,0.98,,MYL,5/8/2018,39.34,38.01
After Market Close,3.67,2.07,,NTES,5/8/2018,253.93,244.61
After Market Close,2.14,0.71,,OXY,5/8/2018,77.04,75.39
After Market Close,7.8,-0.89,,PBYI,5/8/2018,68.25,62.93
After Market Close,4.88,0.16,,TRIP,5/8/2018,37.27,35.45
After Market Close,4.17,-0.07,,TWLO,5/8/2018,41.65,39.91
After Market Close,2.04,1.7,4.56,DIS,5/8/2018,99.23,97.21
After Market Close,4.75,1.53,,YY,5/8/2018,93.28,88.85
After Market Close,2.44,10.67,,BKNG,5/9/2018,2141.72,2089.46
After Market Close,6.11,-0.16,,ROKU,5/9/2018,32.7,30.70
After Market Close,4.25,0.91,,SYNA,5/9/2018,43.78,41.92
After Market Close,11.24,0.1,,TTD,5/9/2018,51.74,45.92
After Market Close,11.44,0.54,,FOXA,5/9/2018,36.42,32.25
Before Market Open,4.79,2.77,,DDS,5/9/2018,78.04,74.30
After Market Close,3.79,1.45,,NVDA,5/10/2018,226.33,217.75
